Name,Path,Industry,Num Of Founders,Status,MasterPhD 
"Digital Twin—IoT and Soil-Crop Imaging, a Robust smart Farming Solution",The LAUNCHER,"Agritech,AI/ML,IOT,Private",2.0,Introduced,checked
Caseo,The KICKSTARTER,Mobile,2.0,Introduced,Undergraduate
WormWorks,The KICKSTARTER,Agritech,1.0,First Meeting,Undergraduate
Meeting Point,The LAUNCHER,Automotive,3.0,Introduced,Undergraduate
AeroAid,The LAUNCHER,"Mobile,Automotive,Rescue",3.0,First Meeting,Undergraduate
We Power Energy Company,The KICKSTARTER,"Energy,Mobile,Marketplace,Health,Education,Real Estate",2.0,Introduced,Undergraduate
Blabber,The LAUNCHER,Education,2.0,First Meeting,checked
Lamed,The KICKSTARTER,Student,1.0,Introduced,Undergraduate
Dsee,The LAUNCHER,"HealthCare,Health",6.0,Introduced,checked
VisualDiff,The KICKSTARTER,"AI/ML,Saas,Media",2.0,Introduced,Undergraduate
ZamFresh Poultry Farm,The KICKSTARTER,"Agritech,Marketplace,Education,Health",1.0,Opted Out,Undergraduate
Zeide Roma Solutions Ltd.,The LAUNCHER,"AI/ML,Legal",1.0,Introduced,checked
BDVTrading,The KICKSTARTER,"Gaming,Marketplace",2.0,First Meeting,Undergraduate
Torli,The KICKSTARTER,Retail,1.0,Application,Undergraduate
Classmate,The LAUNCHER,Education,2.0,First Meeting,Undergraduate
Chess like mobile game for children,The KICKSTARTER,"Gaming,Mobile",1.0,First Meeting,Undergraduate
F.B Diamond,The KICKSTARTER,Marketplace,2.0,Introduced,Undergraduate
"An AI platform that is trained on the data of the MAYA website and the SEC website, the platform will process information from financial statements of public companies for analysts and portfolio managers who work for stock exchange members, insurance companies, banks and brokerages. The bot will know how to answer any question about which there is information from the public reports published by the company and will also know how to indicate a reference to the source of the information from which it extracted it. The platform as a final product will be presented to the user on the desktop as his personal bot and he can ask him any question he wants instead of digging and looking for hours for the necessary information in the financial report.",The KICKSTARTER,Fintech,1.0,Introduced,Undergraduate
Anti attack drones,The LAUNCHER,Defense,1.0,First Meeting,Undergraduate
NFThrone,The LAUNCHER,Blockchain,1.0,First Meeting,Undergraduate
CommuniPass,The LAUNCHER,"Fintech,AI/ML,Saas",2.0,First Meeting,checked
Smart Appointment Management System - Dynamic and Automated Appointment Scheduling,The KICKSTARTER,"HealthCare,Health",1.0,First Meeting,Undergraduate
cepo,The LAUNCHER,Fintech,1.0,First Meeting,Undergraduate
ספרותא,The KICKSTARTER,Ebooks,1.0,First Meeting,Undergraduate
IDMA Commerce,The LAUNCHER,Retail,2.0,First Meeting,Undergraduate
Apartments App,The KICKSTARTER,"Mobile,Real Estate",3.0,Application,Undergraduate
Eroom,The LAUNCHER,"Saas,Education,Mobile",2.0,First Meeting,Undergraduate
"Automato system , startup : AgriTech Innovations",The LAUNCHER,Agritech,5.0,Application,checked
suppliers,The KICKSTARTER,"Marketplace,Saas",1.0,Application,Undergraduate
Eroom,The KICKSTARTER,"Education,Saas,Mobile",2.0,First Meeting,Undergraduate
Algo-Rhythm,The KICKSTARTER,AI/ML,4.0,First Meeting,Undergraduate
Blabber,The LAUNCHER,"Saas,Mobile,Education,AI/ML",2.0,IC But Not Invested,checked
Cyclelytics,The LAUNCHER,"HealthCare,AI/ML",1.0,Application,checked
Orbital Pixies,The KICKSTARTER,Space,1.0,First Meeting,Undergraduate
עדיין אין שם,The KICKSTARTER,Health,1.0,First Meeting,Undergraduate
HelmHat,The KICKSTARTER,Safety clothing,1.0,First Meeting,Undergraduate
ISRBILLS,The KICKSTARTER,Financial,1.0,Application,Undergraduate
Diabetes fragility Detector,The KICKSTARTER,"Health,AI/ML",3.0,Application,Undergraduate
Parking Finder App,The KICKSTARTER,"AI/ML,Automotive",1.0,Application,Undergraduate
EIO,The LAUNCHER,"AI/ML,Cyber,Mobile,Security",3.0,First Meeting,Undergraduate
StepAhead,The LAUNCHER,HealthCare,6.0,Introduced,Undergraduate
ForestShield,The KICKSTARTER,Environmental,4.0,First Meeting,Undergraduate
Cytox,The LAUNCHER,"Cyber,HealthCare,Cyber Biosecurity",2.0,First Meeting,checked
ThetaFlow,The LAUNCHER,"HealthCare,Health",1.0,First Meeting,Undergraduate
